rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
1,17000.0,135.0,Голосіївський,"Забіли Віктора вул., 5",Деміївська,3,Demiivska,"50.404788, 30.516868",652.0,8 mins,500.0,"50.40025711,30.51607895",0.7,8.0
4,68339.0,250.0,Печерський,"Буслівська вул., 10",,3,Vydubychi,"50.401822, 30.56048799999999",2514.0,30 mins,1825.0,"50.40769577,30.55680466",2.5,30.0
3,99738.0,248.0,Печерський,"Драгомирова вул., 11В",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1471.0,20 mins,1228.0,"50.40830994,30.54776573",1.5,20.0
1,9000.0,72.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 81б",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",1076.0,13 mins,791.0,"50.38519669,30.4663868",1.1,13.0
3,18000.0,180.0,Голосіївський,"Мейтуса композитора вул., 4",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",1595.0,20 mins,1191.0,"50.38714218,30.46334457",1.6,20.0
2,17000.0,139.0,Дарницький,"Мишуги Олександра вул., 12",,1,Pozniaky,"50.3978642, 30.6347451",409.0,5 mins,305.0,"50.39573288,30.63640404",0.4,5.0
3,59104.0,240.0,Печерський,"Євгена Коновальця вул. (Щорса), 36-В",,3,Pecherska,"50.4272737, 30.539398",682.0,9 mins,558.0,"50.42488861,30.5329628",0.7,9.0
2,14500.0,101.0,Печерський,"Миколи Міхновського бульв. (Дружби Народів), 20",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",754.0,10 mins,590.0,"50.41563416,30.54100227",0.8,10.0
3,35000.0,241.0,Печерський,"Євгена Коновальця вул. (Щорса), 32-Г",,3,Pecherska,"50.4272737, 30.539398",904.0,13 mins,752.0,"50.42557526,30.53094864",0.9,13.0
2,15000.0,155.0,Солом'янський,"Смілянська вул., 10/31",,2,,,,,,"50.42414856,30.44765663",,0.0
3,30000.0,215.0,Печерський,"Панаса Мирного вул., 17",,3,Klovska,"50.4369687, 30.531807",602.0,9 mins,516.0,"50.43356705,30.53685379",0.6,9.0
3,32000.0,220.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 16",Олімпійська,3,Palats Ukraina,"50.4214131, 30.5207637",754.0,9 mins,519.0,"50.42643738,30.52152252",0.8,9.0
1,6500.0,57.0,Подільський,"Електриків вул., 26/10",Контрактова площа,3,Kontraktova ploshcha,"50.4659213, 30.5150353",3198.0,40 mins,2417.0,"50.47642136,30.53183746",3.2,40.0
3,16000.0,128.0,Голосіївський,"Голосіївський просп. (40-річчя Жовтня), 15Б",Деміївська,3,Demiivska,"50.404788, 30.516868",100.0,1 min,86.0,"50.40434265,30.5165844",0.1,1.0
3,25000.0,155.0,Шевченківський,"Салютна вул., 2Б",,3,Nyvky,"50.4586495, 30.40437299999999",1954.0,24 mins,1440.0,"50.47113037,30.40116882",2.0,24.0
2,14500.0,151.0,Дарницький,"Григоренка Петра просп., 22/20",,1,Pozniaky,"50.3978642, 30.6347451",1815.0,25 mins,1472.0,"50.40905762,30.62652206",1.8,25.0
3,20000.0,142.0,Шевченківський,"Велика Житомирська вул., 29А",,3,Poshtova ploshcha,"50.45926900000001, 30.524412",1433.0,21 mins,1250.0,"50.45516205,30.5104351",1.4,21.0
2,12000.0,120.0,Оболонський,"Кондратюка, 3",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",1087.0,13 mins,797.0,"50.51900101,30.48756027",1.1,13.0
3,38787.0,271.0,Дарницький,"Завальна вул., 1",,1,Slavutych,"50.3942606, 30.6048644",743.0,9 mins,561.0,"50.39266968,30.6092968",0.7,9.0
1,16000.0,90.0,Дніпровський,"Євгена Сверстюка вул. (Раскової Марини), 6В",,1,,,,,,"nan,nan",,0.0
2,12000.0,108.0,Шевченківський,"Довженка Олександра вул., 16в",,3,Shuliavska,"50.45422809999999, 30.44862209999999",1321.0,16 mins,964.0,"50.46217346,30.44953728",1.3,16.0
1,29552.0,108.0,Печерський,"Михайла Бойчука вул. (Кіквідзе), 17",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",641.0,10 mins,584.0,"50.41268158,30.54987907",0.6,10.0
3,20000.0,169.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 54",Виставковий центр,3,Ipodrom,"50.37657470000001, 30.4688445",1432.0,19 mins,1118.0,"50.38516235,30.46281624",1.4,19.0
4,16000.0,245.0,Солом'янський,"Клінічна вул., 6",,2,Palats Ukraina,"50.4214131, 30.5207637",3723.0,45 mins,2683.0,"50.41850281,30.4858284",3.7,45.0
2,14000.0,115.0,Голосіївський,"Феодосійський пров., 14а",Деміївська,3,Demiivska,"50.404788, 30.516868",1634.0,22 mins,1315.0,"50.40338898,30.53075409",1.6,22.0
4,16000.0,300.0,Солом'янський,"Клінічна вул., 23-25",,2,Palats Ukraina,"50.4214131, 30.5207637",3517.0,42 mins,2543.0,"50.41880798,30.49007607",3.5,42.0
1,12000.0,54.0,Шевченківський,"Ільєнка, 87",,3,Dorohozhychi,"50.4735721, 30.4487602",1132.0,14 mins,841.0,"50.47082138,30.46274185",1.1,14.0
1,9000.0,60.0,Оболонський,"Рокоссовського маршала просп., 6",,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",3532.0,44 mins,2645.0,"50.52195358,30.45944405",3.5,44.0
2,10000.0,125.0,Дарницький,"Пчілки Олени вул., 2а",,1,Pozniaky,"50.3978642, 30.6347451",2523.0,32 mins,1912.0,"50.41704559,30.62469292",2.5,32.0
1,15500.0,65.0,Святошинський,"Кольцова бульв., 8",,2,Sviatoshyn,"50.4577675, 30.39065719999999",5623.0,1 hour 10 mins,4216.0,"50.41896439,30.38513756",5.6,70.0
