rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
1,15990.0,85.0,Оболонський,"Оболонський просп., 1",Оболонь,2,Obolon,"50.5015363, 30.4982311",1.3 km,1270.0,16 mins,940.0,"50.4989357,30.4978981"
2,10000.0,100.0,Шевченківський,"Данила Щербаківського вул. (Щербакова), 49д",,3,Nyvky,"50.4586495, 30.40437299999999",2.1 km,2072.0,25 mins,1521.0,"50.47432327,30.40136719"
1,7000.0,106.0,Дарницький,"Бориспільська вул., 6",,1,Vyrlytsia,"50.4029499, 30.666911",4.0 km,4050.0,49 mins,2961.0,"50.42884064,30.66441727"
1,11000.0,78.0,Дарницький,"Юрія Пасхаліна вул. (Ілліча), 17",,1,Vyrlytsia,"50.4029499, 30.666911",3.6 km,3637.0,45 mins,2688.0,"50.42554092,30.65187645"
3,20000.0,137.0,Подільський,"Правди просп., 41д",,3,Syrets,"50.47676180000001, 30.4327791",3.8 km,3839.0,47 mins,2841.0,"50.50098801,30.42720604"
2,16500.0,55.0,Шевченківський,"Вовчогірська вул. (Ставропольська), 21",,3,Beresteiska,"50.4593178, 30.4186364",1.1 km,1092.0,15 mins,912.0,"50.46640015,30.41215706"
1,13000.0,74.80000000000001,Печерський,"Старонаводницька вул., 8",,3,Pecherska,"50.4272737, 30.539398",1.1 km,1089.0,15 mins,896.0,"50.42867279,30.54851723"
3,12000.0,173.8,Дарницький,"Ахматової Анни вул., 31",,1,Pozniaky,"50.3978642, 30.6347451",1.4 km,1423.0,18 mins,1101.0,"50.40747833,30.62745667"
1,12500.0,63.0,Дарницький,"Софії Русової вул., 5",,1,Osokorky,"50.395248, 30.616231",1.3 km,1284.0,17 mins,992.0,"50.38803101,30.62658882"
2,14900.0,84.0,Солом'янський,"Івана Світличного вул. (Петровського), 6",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",2.9 km,2926.0,37 mins,2207.0,"50.43676758,30.45479393"
2,14000.0,148.0,Дарницький,"Бориспільська вул., 26к",,1,Chervonyi khutir,"50.40947300000001, 30.696203",2.8 km,2781.0,34 mins,2063.0,"50.42510223,30.68612289"
1,11000.0,60.0,Солом'янський,"Машинобудівна вул., 27",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2.0 km,2043.0,26 mins,1537.0,"50.44750977,30.43513489"
1,15000.0,82.0,Солом'янський,"Залізнична вул., 32",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",2.0 km,2046.0,27 mins,1607.0,"50.44239044,30.45236397"
2,36940.0,143.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2г",,2,Pochaina,"50.486079, 30.49784800000001",2.7 km,2661.0,33 mins,1962.0,"50.49069977,30.52650261"
